"Label (Grouping)","Population 5 years and over","Population 5 years and over!!Speak only English","Population 5 years and over!!Speak a language other than English","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years old and over","CITIZENS 18 YEARS AND OVER","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak only English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Spanish","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Other languages"
"        Margin of Error","±2,311","±1,420","±2,365","","±2,169","±697","±1,322","±583","±447","±115","±368","±135","±718","±186","±481","±325","±587","±108","±546","±81","","±1,748","±1,142","±1,598","±1,459","±686"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","44.9%","55.1%","","34.6%","8.7%","22.8%","3.1%","6.0%","0.7%","4.4%","0.8%","11.1%","1.1%","8.1%","1.9%","3.5%","0.3%","2.8%","0.3%","","(X)","57.9%","42.1%","24.5%","17.7%"
"        Margin of Error","(X)","±6.4","±6.4","","±7.0","±2.5","±4.5","±2.3","±1.8","±0.5","±1.5","±0.6","±3.0","±0.8","±2.1","±1.3","±2.4","±0.4","±2.2","±0.3","","(X)","±7.4","±7.4","±8.0","±4.3"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18,001","(X)","7,220","","4,534","1,604","2,813","117","970","128","646","196","1,151","200","906","45","565","48","471","46","","12,663","(X)","3,815","2,352","1,463"
"            Margin of Error","±1,712","(X)","±1,303","","±1,169","±577","±862","±86","±318","±92","±232","±135","±408","±129","±289","±57","±455","±72","±442","±59","","±1,289","(X)","±876","±759","±460"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","74.9%","(X)","54.5%","","54.6%","76.4%","51.4%","15.8%","67.4%","73.1%","60.4%","100.0%","43.2%","76.0%","46.6%","9.8%","67.9%","67.6%","69.5%","55.4%","","82.8%","(X)","59.2%","62.8%","54.2%"
"            Margin of Error","±4.9","(X)","±5.8","","±8.1","±17.9","±8.3","±20.7","±14.8","±38.7","±17.9","±20.3","±11.4","±15.3","±10.6","±14.7","±18.6","±4.0","±21.2","±48.5","","±5.0","(X)","±7.4","±9.6","±12.7"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6,029","(X)","6,029","","3,777","496","2,657","624","470","47","423","0","1,515","63","1,040","412","267","23","207","37","","2,630","(X)","2,630","1,393","1,237"
"            Margin of Error","±1,486","(X)","±1,486","","±1,342","±438","±739","±583","±291","±82","±281","±26","±536","±69","±345","±321","±207","±36","±175","±56","","±936","(X)","±936","±794","±494"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","25.1%","(X)","45.5%","","45.4%","23.6%","48.6%","84.2%","32.6%","26.9%","39.6%","0.0%","56.8%","24.0%","53.4%","90.2%","32.1%","32.4%","30.5%","44.6%","","17.2%","(X)","40.8%","37.2%","45.8%"
"            Margin of Error","±4.9","(X)","±5.8","","±8.1","±17.9","±8.3","±20.7","±14.8","±38.7","±17.9","±20.3","±11.4","±15.3","±10.6","±14.7","±18.6","±4.0","±21.2","±48.5","","±5.0","(X)","±7.4","±9.6","±12.7"
"ZCTA5 78756","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,170","7,637","1,533","","881","15","833","33","279","0","270","9","161","0","136","25","212","0","212","0","","8,068","6,800","1,268","787","481"
"        Margin of Error","±1,096","±650","±702","","±394","±21","±393","±39","±177","±20","±182","±14","±142","±20","±136","±38","±266","±20","±266","±20","","±962","±583","±612","±383","±265"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","83.3%","16.7%","","9.6%","0.2%","9.1%","0.4%","3.0%","0.0%","2.9%","0.1%","1.8%","0.0%","1.5%","0.3%","2.3%","0.0%","2.3%","0.0%","","(X)","84.3%","15.7%","9.8%","6.0%"
"        Margin of Error","(X)","±6.1","±6.1","","±3.5","±0.2","±3.5","±0.4","±1.8","±0.5","±1.9","±0.2","±1.5","±0.5","±1.5","±0.4","±2.7","±0.5","±2.7","±0.5","","(X)","±6.2","±6.2","±3.9","±2.8"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","9,010","(X)","1,373","","737","6","731","0","263","0","254","9","161","0","136","25","212","0","212","0","","7,946","(X)","1,146","681","465"
"            Margin of Error","±1,083","(X)","±691","","±377","±10","±378","±20","±174","±20","±178","±14","±142","±20","±136","±38","±266","±20","±266","±20","","±965","(X)","±606","±373","±263"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","98.3%","(X)","89.6%","","83.7%","40.0%","87.8%","0.0%","94.3%","-","94.1%","100.0%","100.0%","-","100.0%","100.0%","100.0%","-","100.0%","-","","98.5%","(X)","90.4%","86.5%","96.7%"
"            Margin of Error","±1.0","(X)","±7.1","","±10.7","±60.0","±9.4","±60.7","±9.5","**","±9.9","±100.0","±24.0","**","±27.5","±69.8","±19.0","**","±19.0","**","","±1.2","(X)","±8.4","±12.0","±5.4"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","160","(X)","160","","144","9","102","33","16","0","16","0","0","0","0","0","0","0","0","0","","122","(X)","122","106","16"
"            Margin of Error","±92","(X)","±92","","±88","±19","±76","±39","±25","±20","±25","±20","±20","±20","±20","±20","±20","±20","±20","±20","","±92","(X)","±92","±88","±25"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1.7%","(X)","10.4%","","16.3%","60.0%","12.2%","100.0%","5.7%","-","5.9%","0.0%","0.0%","-","0.0%","0.0%","0.0%","-","0.0%","-","","1.5%","(X)","9.6%","13.5%","3.3%"
"            Margin of Error","±1.0","(X)","±7.1","","±10.7","±60.0","±9.4","±60.7","±9.5","**","±9.9","±100.0","±24.0","**","±27.5","±69.8","±19.0","**","±19.0","**","","±1.2","(X)","±8.4","±12.0","±5.4"
"ZCTA5 78757","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,822","19,359","5,463","","4,770","1,447","2,977","346","285","10","177","98","317","7","240","70","91","20","71","0","","18,708","16,035","2,673","2,213","460"
"        Margin of Error","±2,379","±1,398","±1,851","","±1,839","±858","±1,052","±168","±132","±17","±104","±58","±138","±11","±121","±73","±98","±36","±73","±26","","±1,569","±1,183","±922","±900","±163"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","78.0%","22.0%","","19.2%","5.8%","12.0%","1.4%","1.1%","0.0%","0.7%","0.4%","1.3%","0.0%","1.0%","0.3%","0.4%","0.1%","0.3%","0.0%","","(X)","85.7%","14.3%","11.8%","2.5%"
"        Margin of Error","(X)","±5.9","±5.9","","±6.0","±3.0","±3.5","±0.7","±0.5","±0.1","±0.4","±0.2","±0.6","±0.1","±0.5","±0.3","±0.4","±0.1","±0.3","±0.2","","(X)","±4.2","±4.2","±4.2","±0.9"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","22,572","(X)","3,213","","2,682","943","1,599","140","255","10","160","85","216","7","209","0","60","10","50","0","","18,067","(X)","2,032","1,619","413"
"            Margin of Error","±1,630","(X)","±987","","±973","±488","±626","±91","±122","±17","±103","±52","±113","±11","±111","±26","±65","±18","±61","±26","","±1,286","(X)","±631","±606","±152"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","90.9%","(X)","58.8%","","56.2%","65.2%","53.7%","40.5%","89.5%","100.0%","90.4%","86.7%","68.1%","100.0%","87.1%","0.0%","65.9%","50.0%","70.4%","-","","96.6%","(X)","76.0%","73.2%","89.8%"
"            Margin of Error","±5.3","(X)","±17.0","","±19.0","±34.6","±18.0","±26.3","±13.1","±100.0","±16.7","±22.0","±23.4","±100.0","±19.1","±41.7","±40.4","±5.1","±46.0","**","","±3.4","(X)","±19.9","±23.5","±10.4"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,250","(X)","2,250","","2,088","504","1,378","206","30","0","17","13","101","0","31","70","31","10","21","0","","641","(X)","641","594","47"
"            Margin of Error","±1,466","(X)","±1,466","","±1,460","±700","±831","±148","±38","±26","±28","±22","±87","±26","±48","±73","±55","±18","±37","±26","","±662","(X)","±662","±661","±49"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","9.1%","(X)","41.2%","","43.8%","34.8%","46.3%","59.5%","10.5%","0.0%","9.6%","13.3%","31.9%","0.0%","12.9%","100.0%","34.1%","50.0%","29.6%","-","","3.4%","(X)","24.0%","26.8%","10.2%"
"            Margin of Error","±5.3","(X)","±17.0","","±19.0","±34.6","±18.0","±26.3","±13.1","±100.0","±16.7","±22.0","±23.4","±100.0","±19.1","±41.7","±40.4","±5.1","±46.0","**","","±3.4","(X)","±19.9","±23.5","±10.4"
"ZCTA5 78758","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","46,352","26,829","19,523","","16,288","3,470","12,035","783","934","65","852","17","1,775","35","1,611","129","526","86","428","12","","30,173","23,320","6,853","5,458","1,395"
"        Margin of Error","±2,822","±2,166","±2,382","","±2,143","±1,186","±1,378","±217","±304","±58","±288","±19","±638","±42","±625","±68","±302","±93","±240","±19","","±1,761","±1,595","±944","±832","±415"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","57.9%","42.1%","","35.1%","7.5%","26.0%","1.7%","2.0%","0.1%","1.8%","0.0%","3.8%","0.1%","3.5%","0.3%","1.1%","0.2%","0.9%","0.0%","","(X)","77.3%","22.7%","18.1%","4.6%"
"        Margin of Error","(X)","±3.9","±3.9","","±3.6","±2.3","±2.6","±0.4","±0.6","±0.1","±0.6","±0.1","±1.4","±0.1","±1.3","±0.1","±0.6","±0.2","±0.5","±0.1","","(X)","±2.8","±2.8","±2.5","±1.3"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","37,541","(X)","10,712","","8,380","2,670","5,281","429","693","65","617","11","1,252","10","1,233","9","387","86","301","0","","28,610","(X)","5,290","4,258","1,032"
"            Margin of Error","±2,478","(X)","±1,681","","±1,375","±1,031","±891","±195","±268","±58","±258","±17","±583","±11","±583","±15","±213","±93","±184","±33","","±1,744","(X)","±889","±781","±376"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","81.0%","(X)","54.9%","","51.4%","76.9%","43.9%","54.8%","74.2%","100.0%","72.4%","64.7%","70.5%","28.6%","76.5%","7.0%","73.6%","100.0%","70.3%","0.0%","","94.8%","(X)","77.2%","78.0%","74.0%"
"            Margin of Error","±2.6","(X)","±4.9","","±5.0","±11.5","±5.3","±15.5","±10.3","±43.3","±11.6","±56.8","±11.3","±53.3","±10.1","±10.6","±19.2","±37.6","±27.3","±100.0","","±1.2","(X)","±5.0","±5.5","±9.9"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","8,811","(X)","8,811","","7,908","800","6,754","354","241","0","235","6","523","25","378","120","139","0","127","12","","1,563","(X)","1,563","1,200","363"
"            Margin of Error","±1,375","(X)","±1,375","","±1,324","±459","±991","±131","±106","±33","±104","±9","±172","±41","±137","±64","±144","±33","±146","±19","","±348","(X)","±348","±311","±146"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","19.0%","(X)","45.1%","","48.6%","23.1%","56.1%","45.2%","25.8%","0.0%","27.6%","35.3%","29.5%","71.4%","23.5%","93.0%","26.4%","0.0%","29.7%","100.0%","","5.2%","(X)","22.8%","22.0%","26.0%"
"            Margin of Error","±2.6","(X)","±4.9","","±5.0","±11.5","±5.3","±15.5","±10.3","±43.3","±11.6","±56.8","±11.3","±53.3","±10.1","±10.6","±19.2","±37.6","±27.3","±100.0","","±1.2","(X)","±5.0","±5.5","±9.9"
"ZCTA5 78759","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,261","34,083","9,178","","3,662","330","2,990","342","2,525","373","1,932","220","2,437","268","2,063","106","554","31","523","0","","34,073","28,988","5,085","2,612","2,473"
"        Margin of Error","±1,875","±1,672","±1,133","","±767","±127","±721","±180","±658","±131","±507","±174","±488","±88","±442","±91","±401","±24","±398","±30","","±1,582","±1,480","±726","±546","±502"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","78.8%","21.2%","","8.5%","0.8%","6.9%","0.8%","5.8%","0.9%","4.5%","0.5%","5.6%","0.6%","4.8%","0.2%","1.3%","0.1%","1.2%","0.0%","","(X)","85.1%","14.9%","7.7%","7.3%"
"        Margin of Error","(X)","±2.3","±2.3","","±1.7","±0.3","±1.6","±0.4","±1.5","±0.3","±1.2","±0.4","±1.1","±0.2","±1.0","±0.2","±0.9","±0.1","±0.9","±0.1","","(X)","±2.0","±2.0","±1.5","±1.4"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","41,312","(X)","7,229","","3,037","317","2,453","267","2,226","293","1,763","170","1,729","240","1,417","72","237","31","206","0","","33,309","(X)","4,321","2,173","2,148"
