"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","87.6%","42.4%","94.3%","86.4%","85.0%","98.3%","99.6%","90.2%","88.8%","89.7%","84.6%","92.8%","(X)","32.5%","(X)","86.3%","(X)","95.5%","(X)","99.5%","(X)","94.0%","(X)","97.3%","(X)","92.6%","(X)","67.4%","(X)","94.7%","(X)","93.9%","(X)","95.1%"
"        Margin of Error","±4.8","±29.2","±5.0","±22.6","±13.0","±7.1","±0.6","±7.0","±10.3","±5.9","±10.2","±5.7","(X)","±32.1","(X)","±10.3","(X)","±7.7","(X)","±0.7","(X)","±9.7","(X)","±4.5","(X)","±6.9","(X)","±22.8","(X)","±6.5","(X)","±10.6","(X)","±7.9"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","243","132","29","87","13","3","100","60","160","90","70","(X)","235","(X)","95","(X)","42","(X)","3","(X)","15","(X)","9","(X)","66","(X)","70","(X)","24","(X)","9","(X)","15"
"        Margin of Error","(X)","±161","±122","±46","±77","±57","±4","±75","±51","±95","±67","±53","(X)","±160","(X)","±75","(X)","±75","(X)","±4","(X)","±23","(X)","±15","(X)","±62","(X)","±64","(X)","±28","(X)","±15","(X)","±23"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12.4%","57.6%","5.7%","13.6%","15.0%","1.7%","0.4%","9.8%","11.2%","10.3%","15.4%","7.2%","(X)","67.5%","(X)","13.7%","(X)","4.5%","(X)","0.5%","(X)","6.0%","(X)","2.7%","(X)","7.4%","(X)","32.6%","(X)","5.3%","(X)","6.1%","(X)","4.9%"
"        Margin of Error","±4.8","±29.2","±5.0","±22.6","±13.0","±7.1","±0.6","±7.0","±10.3","±5.9","±10.2","±5.7","(X)","±32.1","(X)","±10.3","(X)","±7.7","(X)","±0.7","(X)","±9.7","(X)","±4.5","(X)","±6.9","(X)","±22.8","(X)","±6.5","(X)","±10.6","(X)","±7.9"
"ZCTA5 78753","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,478","940","10,663","602","3,773","3,648","2,640","2,048","827","2,875","1,538","1,337","2,023","669","4,344","4,085","4,440","4,325","1,859","1,770","1,318","901","3,516","900","13,874","1,146","26,223","682","4,834","1,082","2,757","559","2,077","523"
"        Margin of Error","±1,390","±268","±1,287","±203","±626","±722","±425","±426","±323","±524","±363","±345","±361","±232","±655","±644","±858","±839","±424","±418","±331","±276","±568","±268","±1,472","±326","±1,581","±231","±679","±278","±524","±198","±409","±188"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.5%","73.6%","4.2%","26.1%","25.2%","18.2%","14.1%","5.7%","19.9%","20.6%","19.1%","(X)","33.1%","(X)","94.0%","(X)","97.4%","(X)","95.2%","(X)","68.4%","(X)","25.6%","(X)","8.3%","(X)","2.6%","(X)","22.4%","(X)","20.3%","(X)","25.2%"
"        Margin of Error","(X)","±1.9","±3.8","±1.5","±3.0","±3.6","±2.7","±2.9","±2.2","±3.5","±5.1","±4.5","(X)","±10.2","(X)","±3.3","(X)","±2.6","(X)","±4.7","(X)","±10.8","(X)","±7.9","(X)","±2.3","(X)","±0.8","(X)","±5.8","(X)","±7.0","(X)","±8.7"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","873","9,485","602","3,013","3,404","2,466","1,785","655","2,440","1,282","1,158","(X)","620","(X)","3,424","(X)","3,964","(X)","1,694","(X)","800","(X)","872","(X)","1,014","(X)","410","(X)","1,051","(X)","542","(X)","509"
"        Margin of Error","(X)","±265","±1,194","±203","±528","±714","±426","±405","±309","±484","±332","±341","(X)","±234","(X)","±593","(X)","±768","(X)","±413","(X)","±271","(X)","±260","(X)","±319","(X)","±174","(X)","±277","(X)","±201","(X)","±187"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.4%","92.9%","89.0%","100.0%","79.9%","93.3%","93.4%","87.2%","79.2%","84.9%","83.4%","86.6%","(X)","92.7%","(X)","83.8%","(X)","91.7%","(X)","95.7%","(X)","88.8%","(X)","96.9%","(X)","88.5%","(X)","60.1%","(X)","97.1%","(X)","97.0%","(X)","97.3%"
"        Margin of Error","±3.8","±4.7","±4.5","±7.2","±10.1","±4.7","±5.3","±7.9","±14.7","±6.6","±9.0","±10.6","(X)","±5.5","(X)","±8.5","(X)","±4.4","(X)","±5.1","(X)","±10.1","(X)","±4.3","(X)","±8.9","(X)","±20.5","(X)","±3.1","(X)","±5.2","(X)","±3.3"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","67","1,178","0","760","244","174","263","172","435","256","179","(X)","49","(X)","661","(X)","361","(X)","76","(X)","101","(X)","28","(X)","132","(X)","272","(X)","31","(X)","17","(X)","14"
"        Margin of Error","(X)","±43","±513","±33","±436","±169","±143","±169","±115","±204","±149","±144","(X)","±33","(X)","±375","(X)","±210","(X)","±91","(X)","±92","(X)","±40","(X)","±103","(X)","±182","(X)","±33","(X)","±27","(X)","±17"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.6%","7.1%","11.0%","0.0%","20.1%","6.7%","6.6%","12.8%","20.8%","15.1%","16.6%","13.4%","(X)","7.3%","(X)","16.2%","(X)","8.3%","(X)","4.3%","(X)","11.2%","(X)","3.1%","(X)","11.5%","(X)","39.9%","(X)","2.9%","(X)","3.0%","(X)","2.7%"
"        Margin of Error","±3.8","±4.7","±4.5","±7.2","±10.1","±4.7","±5.3","±7.9","±14.7","±6.6","±9.0","±10.6","(X)","±5.5","(X)","±8.5","(X)","±4.4","(X)","±5.1","(X)","±10.1","(X)","±4.3","(X)","±8.9","(X)","±20.5","(X)","±3.1","(X)","±5.2","(X)","±3.3"
"ZCTA5 78754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,431","662","4,191","447","1,498","1,043","1,203","1,076","502","1,578","754","824","891","436","2,062","2,022","1,518","1,442","863","850","377","170","1,660","568","5,302","710","12,248","233","2,037","637","923","345","1,114","292"
"        Margin of Error","±913","±224","±834","±175","±410","±290","±493","±358","±204","±421","±332","±244","±240","±186","±492","±494","±454","±452","±295","±293","±136","±93","±453","±295","±817","±250","±1,366","±123","±475","±294","±369","±275","±312","±179"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","10.3%","65.2%","7.0%","23.3%","16.2%","18.7%","16.7%","7.8%","24.5%","22.1%","27.4%","(X)","48.9%","(X)","98.1%","(X)","95.0%","(X)","98.5%","(X)","45.1%","(X)","34.2%","(X)","13.4%","(X)","1.9%","(X)","31.3%","(X)","37.4%","(X)","26.2%"
"        Margin of Error","(X)","±3.6","±6.5","±2.7","±4.8","±4.0","±6.6","±5.4","±3.2","±6.3","±8.7","±7.3","(X)","±16.6","(X)","±2.8","(X)","±6.3","(X)","±2.8","(X)","±24.1","(X)","±14.3","(X)","±4.4","(X)","±1.0","(X)","±12.2","(X)","±21.6","(X)","±13.8"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","436","3,899","348","1,409","982","1,160","863","324","1,187","508","679","(X)","258","(X)","1,786","(X)","1,381","(X)","807","(X)","165","(X)","568","(X)","387","(X)","170","(X)","632","(X)","340","(X)","292"
"        Margin of Error","(X)","±204","±845","±170","±418","±286","±482","±321","±153","±354","±295","±234","(X)","±163","(X)","±507","(X)","±445","(X)","±279","(X)","±93","(X)","±295","(X)","±192","(X)","±105","(X)","±295","(X)","±275","(X)","±179"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","85.9%","65.9%","93.0%","77.9%","94.1%","94.2%","96.4%","80.2%","64.5%","75.2%","67.4%","82.4%","(X)","59.2%","(X)","88.3%","(X)","95.8%","(X)","94.9%","(X)","97.1%","(X)","100.0%","(X)","54.5%","(X)","73.0%","(X)","99.2%","(X)","98.6%","(X)","100.0%"
"        Margin of Error","±4.9","±16.7","±3.4","±14.8","±4.0","±6.8","±4.1","±12.4","±23.8","±12.0","±23.6","±11.7","(X)","±23.4","(X)","±5.5","(X)","±5.1","(X)","±5.7","(X)","±5.3","(X)","±7.6","(X)","±23.0","(X)","±21.0","(X)","±1.4","(X)","±3.1","(X)","±14.2"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","226","292","99","89","61","43","213","178","391","246","145","(X)","178","(X)","236","(X)","61","(X)","43","(X)","5","(X)","0","(X)","323","(X)","63","(X)","5","(X)","5","(X)","0"
"        Margin of Error","(X)","±119","±130","±62","±54","±71","±51","±144","±151","±224","±196","±99","(X)","±110","(X)","±93","(X)","±71","(X)","±51","(X)","±9","(X)","±26","(X)","±213","(X)","±60","(X)","±9","(X)","±9","(X)","±26"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14.1%","34.1%","7.0%","22.1%","5.9%","5.8%","3.6%","19.8%","35.5%","24.8%","32.6%","17.6%","(X)","40.8%","(X)","11.7%","(X)","4.2%","(X)","5.1%","(X)","2.9%","(X)","0.0%","(X)","45.5%","(X)","27.0%","(X)","0.8%","(X)","1.4%","(X)","0.0%"
"        Margin of Error","±4.9","±16.7","±3.4","±14.8","±4.0","±6.8","±4.1","±12.4","±23.8","±12.0","±23.6","±11.7","(X)","±23.4","(X)","±5.5","(X)","±5.1","(X)","±5.7","(X)","±5.3","(X)","±7.6","(X)","±23.0","(X)","±21.0","(X)","±1.4","(X)","±3.1","(X)","±14.2"
"ZCTA5 78756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,890","59","827","77","282","246","222","717","287","1,004","483","521","100","79","327","319","334","305","139","139","417","397","497","309","2,921","233","4,535","109","914","662","481","359","433","303"
"        Margin of Error","±262","±35","±197","±49","±105","±87","±84","±109","±106","±151","±127","±153","±48","±41","±120","±119","±112","±90","±54","±54","±130","±112","±146","±107","±729","±100","±694","±57","±167","±107","±133","±120","±140","±118"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3.1%","43.8%","4.1%","14.9%","13.0%","11.7%","37.9%","15.2%","53.1%","59.2%","48.5%","(X)","79.0%","(X)","97.6%","(X)","91.3%","(X)","100.0%","(X)","95.2%","(X)","62.2%","(X)","8.0%","(X)","2.4%","(X)","72.4%","(X)","74.6%","(X)","70.0%"
"        Margin of Error","(X)","±1.9","±6.9","±2.5","±4.7","±3.9","±4.2","±5.2","±5.2","±6.3","±8.7","±10.7","(X)","±22.2","(X)","±3.8","(X)","±10.7","(X)","±27.1","(X)","±5.4","(X)","±12.6","(X)","±3.3","(X)","±1.2","(X)","±7.7","(X)","±12.3","(X)","±13.9"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0","505","50","114","145","196","507","224","731","386","345","(X)","0","(X)","155","(X)","198","(X)","108","(X)","272","(X)","233","(X)","219","(X)","51","(X)","461","(X)","262","(X)","199"
"        Margin of Error","(X)","±20","±134","±42","±49","±57","±82","±118","±94","±157","±101","±125","(X)","±20","(X)","±67","(X)","±68","(X)","±46","(X)","±103","(X)","±98","(X)","±102","(X)","±41","(X)","±120","(X)","±91","(X)","±88"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","65.4%","0.0%","61.1%","64.9%","40.4%","58.9%","88.3%","70.7%","78.0%","72.8%","79.9%","66.2%","(X)","0.0%","(X)","48.6%","(X)","64.9%","(X)","77.7%","(X)","68.5%","(X)","75.4%","(X)","94.0%","(X)","46.8%","(X)","69.6%","(X)","73.0%","(X)","65.7%"
"        Margin of Error","±7.5","±45.4","±14.2","±33.6","±19.9","±19.6","±9.5","±8.5","±16.2","±7.6","±12.9","±13.2","(X)","±39.3","(X)","±19.5","(X)","±17.8","(X)","±15.0","(X)","±13.7","(X)","±16.1","(X)","±9.9","(X)","±26.4","(X)","±9.5","(X)","±16.4","(X)","±15.4"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","59","322","27","168","101","26","210","63","273","97","176","(X)","79","(X)","164","(X)","107","(X)","31","(X)","125","(X)","76","(X)","14","(X)","58","(X)","201","(X)","97","(X)","104"
"        Margin of Error","(X)","±35","±160","±29","±101","±69","±21","±55","±50","±70","±74","±84","(X)","±41","(X)","±101","(X)","±70","(X)","±24","(X)","±57","(X)","±54","(X)","±21","(X)","±41","(X)","±54","(X)","±74","(X)","±64"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34.6%","100.0%","38.9%","35.1%","59.6%","41.1%","11.7%","29.3%","22.0%","27.2%","20.1%","33.8%","(X)","100.0%","(X)","51.4%","(X)","35.1%","(X)","22.3%","(X)","31.5%","(X)","24.6%","(X)","6.0%","(X)","53.2%","(X)","30.4%","(X)","27.0%","(X)","34.3%"
"        Margin of Error","±7.5","±45.4","±14.2","±33.6","±19.9","±19.6","±9.5","±8.5","±16.2","±7.6","±12.9","±13.2","(X)","±39.3","(X)","±19.5","(X)","±17.8","(X)","±15.0","(X)","±13.7","(X)","±16.1","(X)","±9.9","(X)","±26.4","(X)","±9.5","(X)","±16.4","(X)","±15.4"
"ZCTA5 78757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,867","557","4,096","381","1,189","1,261","1,265","643","571","1,214","469","745","737","495","1,397","1,266","1,897","1,753","1,045","1,045","208","106","854","213","5,149","569","14,272","420","1,062","248","583","100","479","148"
"        Margin of Error","±1,116","±191","±1,016","±165","±370","±537","±480","±290","±247","±424","±213","±319","±261","±181","±265","±233","±824","±818","±426","±426","±110","±87","±260","±117","±713","±312","±1,383","±180","±267","±145","±202","±77","±184","±116"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.5%","69.8%","6.5%","20.3%","21.5%","21.6%","11.0%","9.7%","20.7%","20.4%","20.9%","(X)","67.2%","(X)","90.6%","(X)","92.4%","(X)","100.0%","(X)","51.0%","(X)","24.9%","(X)","11.1%","(X)","2.9%","(X)","23.4%","(X)","17.2%","(X)","30.9%"
"        Margin of Error","(X)","±3.7","±7.4","±3.0","±4.8","±6.5","±6.9","±4.8","±3.9","±6.6","±8.4","±7.7","(X)","±15.6","(X)","±7.1","(X)","±9.0","(X)","±4.2","(X)","±25.6","(X)","±12.6","(X)","±5.4","(X)","±1.3","(X)","±12.2","(X)","±12.0","(X)","±19.5"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","191","3,468","336","928","1,066","1,138","538","492","1,030","367","663","(X)","181","(X)","989","(X)","1,477","(X)","918","(X)","106","(X)","148","(X)","553","(X)","317","(X)","183","(X)","62","(X)","121"
"        Margin of Error","(X)","±112","±1,018","±158","±354","±523","±471","±274","±231","±400","±186","±298","(X)","±116","(X)","±223","(X)","±801","(X)","±411","(X)","±87","(X)","±107","(X)","±311","(X)","±151","(X)","±138","(X)","±58","(X)","±115"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79.9%","34.3%","84.7%","88.2%","78.0%","84.5%","90.0%","83.7%","86.2%","84.8%","78.3%","89.0%","(X)","36.6%","(X)","78.1%","(X)","84.3%","(X)","87.8%","(X)","100.0%","(X)","69.5%","(X)","97.2%","(X)","75.5%","(X)","73.8%","(X)","62.0%","(X)","81.8%"
"        Margin of Error","±5.2","±16.8","±5.9","±9.5","±10.2","±10.5","±7.9","±12.4","±10.2","±8.0","±14.5","±8.3","(X)","±18.8","(X)","±7.9","(X)","±9.1","(X)","±9.4","(X)","±33.1","(X)","±30.8","(X)","±5.3","(X)","±14.0","(X)","±27.9","(X)","±43.3","(X)","±32.0"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","366","628","45","261","195","127","105","79","184","102","82","(X)","314","(X)","277","(X)","276","(X)","127","(X)","0","(X)","65","(X)","16","(X)","103","(X)","65","(X)","38","(X)","27"
