"Label (Grouping)","Families","Families!!With related children of householder under 18 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years","Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years","Families!!RACE AND HISPANIC OR LATINO ORIGIN","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino","Families!!Householder worked","Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months","Families!!Householder 65 years and over","Families!!Family received --","Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months","Families!!Family received --!!Social security income in the past 12 months","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder","Families!!NUMBER OF PEOPLE IN FAMILY","Families!!NUMBER OF PEOPLE IN FAMILY!!2 people","Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people","Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people","Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people","Families!!NUMBER OF WORKERS IN FAMILY","Families!!NUMBER OF WORKERS IN FAMILY!!No workers","Families!!NUMBER OF WORKERS IN FAMILY!!1 worker","Families!!NUMBER OF WORKERS IN FAMILY!!2 workers","Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers","Families!!INCOME DEFICIT","Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)","Families!!TENURE","Families!!TENURE!!Owner occupied","Families!!TENURE!!Renter Occupied","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"            Margin of Error","±12.0","±16.2","±12.0","±41.3","±28.5","","","±12.6","±33.4","**","±33.9","**","±40.3","**","±15.6","±18.2","±12.4","±10.1","±35.0","","±26.0","±29.2","","±28.2","±32.4","±14.2","±10.3","","±18.9","±15.0","±39.0","**","","±17.2","±18.8","±44.7","**","","±14.6","±20.0","±42.2","±82.3","","±80.1","±21.9","±15.8","±27.7","","(X)","","±11.9","±20.6","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,488","663","165","45","453","","","1,417","0","0","42","0","0","29","139","1,278","1,270","921","230","","10","277","","0","56","196","1,236","","825","628","35","0","","884","569","35","0","","885","557","46","0","","104","447","907","30","","N","","1,039","449","","0","74","82","104","120","175","277","373"
"            Margin of Error","±198","±150","±70","±36","±137","","","±189","±20","±20","±45","±20","±20","±28","±109","±153","±191","±159","±73","","±15","±101","","±20","±43","±110","±160","","±140","±154","±28","±20","","±160","±109","±28","±20","","±169","±113","±33","±20","","±41","±151","±166","±29","","N","","±146","±139","","±20","±95","±96","±98","±100","±109","±126","±148"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5.0%","11.2%","0.0%","0.0%","16.3%","","","5.2%","-","-","0.0%","-","-","0.0%","42.4%","1.2%","5.8%","0.0%","0.0%","","0.0%","0.0%","","-","0.0%","33.7%","0.6%","","0.0%","11.8%","0.0%","-","","6.7%","2.6%","0.0%","-","","6.7%","2.7%","0.0%","-","","0.0%","16.6%","0.0%","0.0%","","(X)","","1.4%","13.1%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±6.0","±12.5","±23.6","±52.0","±17.6","","","±6.3","**","**","±53.8","**","**","±64.8","±44.6","±1.5","±7.0","±4.8","±17.7","","±100.0","±15.0","","**","±46.6","±35.6","±1.0","","±5.3","±13.1","±59.0","**","","±9.9","±3.3","±59.0","**","","±9.8","±3.4","±51.5","**","","±33.5","±18.2","±4.8","±63.7","","(X)","","±1.8","±18.2","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,162","509","165","45","299","","","1,101","0","0","42","0","0","19","64","1,037","1,009","758","154","","0","163","","0","25","129","1,008","","653","474","35","0","","653","474","35","0","","627","489","46","0","","72","225","844","21","","N","","828","334","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±182","±106","±70","±36","±87","","","±171","±20","±20","±45","±20","±20","±24","±49","±167","±178","±168","±59","","±20","±73","","±20","±26","±62","±177","","±138","±114","±28","±20","","±138","±114","±28","±20","","±134","±120","±33","±20","","±37","±88","±162","±27","","N","","±164","±95","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","0.6%","1.4%","0.0%","0.0%","2.3%","","","0.6%","-","-","0.0%","-","-","0.0%","0.0%","0.7%","0.7%","0.0%","0.0%","","-","0.0%","","-","0.0%","5.4%","0.0%","","0.0%","1.5%","0.0%","-","","0.0%","1.5%","0.0%","-","","0.0%","1.4%","0.0%","-","","0.0%","3.1%","0.0%","0.0%","","(X)","","0.8%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±1.2","±2.6","±23.6","±52.0","±4.5","","","±1.2","**","**","±53.8","**","**","±80.1","±43.6","±1.3","±1.3","±5.8","±24.9","","**","±23.8","","**","±69.8","±10.0","±4.4","","±6.7","±2.8","±59.0","**","","±6.7","±2.8","±59.0","**","","±6.9","±2.7","±51.5","**","","±41.1","±6.4","±5.2","±76.1","","(X)","","±1.6","±12.6","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","267","137","0","0","137","","","257","0","0","0","0","0","10","59","198","209","119","58","","10","107","","0","31","59","177","","130","137","0","0","","189","78","0","0","","216","51","0","0","","32","203","23","9","","N","","185","82","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±150","±116","±20","±20","±116","","","±149","±20","±20","±20","±20","±20","±15","±93","±100","±135","±74","±53","","±15","±79","","±20","±37","±93","±96","","±83","±116","±20","±20","","±129","±49","±20","±20","","±144","±34","±20","±20","","±33","±134","±29","±12","","N","","±97","±103","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","25.1%","48.9%","-","-","48.9%","","","26.1%","-","-","-","-","-","0.0%","100.0%","4.0%","32.1%","0.0%","0.0%","","0.0%","0.0%","","-","0.0%","100.0%","4.5%","","0.0%","48.9%","-","-","","31.2%","10.3%","-","-","","27.3%","15.7%","-","-","","0.0%","33.0%","0.0%","0.0%","","(X)","","4.3%","72.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±26.8","±37.4","**","**","±37.4","","","±27.5","**","**","**","**","**","±100.0","±45.4","±7.0","±31.9","±30.5","±45.8","","±100.0","±32.9","","**","±62.7","±45.4","±7.7","","±28.5","±37.4","**","**","","±36.9","±17.9","**","**","","±32.0","±26.3","**","**","","±61.7","±33.1","±72.8","±100.0","","(X)","","±7.3","±45.5","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5,749","3,270","677","636","1,957","","","4,843","136","0","74","0","432","264","1,315","4,187","4,697","3,463","606","","314","941","","509","698","997","3,545","","2,479","2,615","638","17","","2,669","2,585","478","17","","2,405","2,505","816","23","","349","1,613","3,274","513","","11,884","","3,779","1,970","","145","453","697","800","851","1,354","1,824","2,728"
"            Margin of Error","±637","±502","±195","±190","±476","","","±533","±115","±26","±56","±26","±206","±264","±359","±492","±534","±489","±134","","±214","±318","","±302","±338","±201","±437","","±417","±451","±311","±28","","±535","±451","±200","±28","","±410","±436","±321","±35","","±144","±431","±473","±155","","±3,518","","±467","±423","","±132","±186","±329","±352","±344","±359","±369","±497"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5.5%","9.0%","6.5%","3.9%","11.5%","","","3.1%","25.0%","-","0.0%","-","30.3%","0.0%","19.8%","0.5%","3.6%","3.1%","3.3%","","13.4%","1.8%","","14.3%","18.2%","11.4%","0.0%","","0.8%","6.0%","18.8%","100.0%","","0.7%","6.1%","25.1%","100.0%","","2.0%","5.1%","16.8%","0.0%","","28.1%","13.4%","0.0%","0.0%","","(X)","","0.5%","14.9%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±3.0","±5.3","±9.9","±5.2","±8.1","","","±2.1","±35.9","**","±40.6","**","±27.0","±15.6","±11.7","±0.6","±2.7","±3.4","±4.0","","±16.2","±2.6","","±21.7","±16.2","±8.2","±1.3","","±1.0","±4.3","±19.3","±84.6","","±0.9","±4.4","±22.6","±84.6","","±2.1","±4.2","±15.1","±72.8","","±20.4","±9.0","±1.4","±8.4","","(X)","","±0.7","±8.4","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4,474","2,415","562","443","1,410","","","3,957","30","0","56","0","327","104","844","3,507","3,636","2,696","451","","221","742","","280","402","719","3,073","","2,059","2,006","409","0","","2,075","1,990","409","0","","1,824","2,114","513","23","","193","1,024","2,838","419","","11,442","","3,229","1,245","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±501","±395","±161","±133","±387","","","±503","±37","±26","±49","±26","±160","±80","±195","±476","±403","±342","±112","","±197","±293","","±153","±290","±210","±448","","±394","±389","±178","±26","","±392","±388","±178","±26","","±377","±408","±189","±35","","±88","±376","±365","±133","","±4,444","","±451","±297","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3.1%","5.4%","0.0%","0.0%","9.3%","","","0.2%","0.0%","-","0.0%","-","40.1%","0.0%","15.5%","0.2%","2.3%","3.1%","1.3%","","5.0%","2.3%","","26.1%","11.7%","2.4%","0.0%","","0.3%","0.5%","29.3%","-","","0.3%","0.6%","29.3%","-","","0.3%","0.5%","23.4%","0.0%","","3.1%","12.8%","0.0%","0.0%","","(X)","","0.2%","10.5%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±2.9","±5.3","±7.7","±9.7","±8.8","","","±0.4","±63.7","**","±46.6","**","±29.1","±33.5","±14.6","±0.4","±3.0","±4.0","±3.2","","±12.0","±3.3","","±32.9","±19.3","±3.4","±1.5","","±0.7","±0.9","±25.1","**","","±0.7","±0.9","±25.1","**","","±0.8","±0.9","±20.6","±72.8","","±7.5","±12.8","±1.6","±10.2","","(X)","","±0.4","±9.8","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","945","689","115","119","455","","","574","106","0","0","0","105","160","410","429","756","578","113","","93","142","","184","249","216","296","","256","507","165","17","","430","493","5","17","","396","265","284","0","","147","377","337","84","","12,226","","390","555","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±357","±328","±99","±114","±287","","","±161","±105","±26","±26","±26","±132","±249","±308","±153","±339","±320","±66","","±82","±86","","±250","±181","±117","±128","","±110","±190","±251","±28","","±298","±189","±18","±28","","±141","±138","±301","±26","","±102","±137","±297","±100","","±4,896","","±144","±319","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18.7%","23.7%","38.3%","21.0%","20.7%","","","24.9%","32.1%","-","-","-","0.0%","0.0%","31.5%","3.3%","11.2%","4.3%","12.4%","","33.3%","0.0%","","0.0%","32.1%","44.9%","0.0%","","5.5%","28.8%","0.0%","100.0%","","3.3%","29.6%","0.0%","100.0%","","10.6%","44.5%","6.0%","-","","62.6%","22.5%","0.0%","0.0%","","(X)","","3.6%","29.4%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±13.5","±18.6","±49.3","±34.1","±23.0","","","±17.1","±46.3","**","**","**","±33.3","±24.2","±31.6","±5.4","±10.6","±5.7","±18.8","","±42.4","±26.6","","±21.5","±35.0","±31.4","±14.1","","±9.2","±21.4","±23.6","±84.6","","±6.1","±22.0","±100.0","±84.6","","±12.3","±32.1","±11.3","**","","±33.3","±18.8","±12.5","±38.1","","(X)","","±5.9","±23.1","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10,008","5,248","1,603","1,137","2,508","","","6,143","1,015","110","753","25","1,503","459","4,604","3,586","7,996","5,444","1,014","","327","1,610","","2,167","1,935","2,184","3,722","","4,760","3,939","1,223","86","","5,163","3,844","957","44","","4,807","3,647","1,337","217","","757","3,789","4,591","871","","13,082","","3,548","6,460","","986","2,265","2,704","3,130","3,509","5,169","6,032","7,081"
"            Margin of Error","±803","±648","±377","±323","±505","","","±574","±298","±87","±328","±48","±343","±371","±539","±399","±746","±702","±180","","±145","±359","","±475","±347","±343","±540","","±521","±467","±435","±77","","±528","±610","±335","±54","","±504","±460","±413","±167","","±235","±611","±598","±262","","±2,408","","±438","±675","","±424","±485","±496","±487","±543","±591","±601","±637"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","17.8%","26.8%","17.3%","42.5%","25.8%","","","11.7%","18.0%","0.0%","1.9%","100.0%","33.7%","72.5%","30.6%","3.3%","12.6%","3.7%","6.5%","","25.7%","10.9%","","46.7%","19.0%","12.9%","3.2%","","7.8%","17.9%","57.5%","0.0%","","9.9%","21.0%","48.4%","0.0%","","11.6%","16.4%","45.5%","6.5%","","43.3%","32.2%","4.7%","2.0%","","(X)","","3.1%","25.9%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±4.4","±6.6","±8.3","±15.9","±11.2","","","±4.1","±9.2","±32.2","±3.0","±69.8","±11.5","±25.4","±8.1","±2.0","±4.4","±1.8","±4.8","","±16.7","±6.3","","±13.1","±6.6","±4.7","±2.0","","±3.8","±4.7","±17.9","±37.6","","±4.2","±7.8","±18.9","±52.6","","±4.6","±4.5","±18.1","±12.5","","±15.6","±8.4","±3.8","±2.5","","(X)","","±1.7","±6.3","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6,734","3,112","1,090","841","1,181","","","4,360","523","95","728","0","835","193","2,704","2,744","5,144","3,749","594","","135","1,048","","1,041","1,326","1,419","2,948","","3,622","2,375","707","30","","3,690","2,307","707","30","","3,144","2,454","994","142","","500","1,945","3,640","649","","11,857","","2,710","4,024","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±739","±533","±349","±296","±314","","","±550","±216","±84","±324","±33","±275","±185","±441","±406","±633","±599","±132","","±68","±273","","±379","±336","±296","±513","","±482","±446","±293","±46","","±476","±452","±293","±46","","±441","±455","±309","±154","","±193","±459","±539","±233","","±3,661","","±382","±615","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.2%","15.6%","2.4%","41.0%","9.6%","","","7.8%","9.4%","0.0%","1.9%","-","29.7%","55.4%","24.1%","1.1%","4.6%","0.4%","6.9%","","20.0%","8.0%","","43.0%","12.3%","8.0%","1.1%","","7.5%","7.0%","45.0%","0.0%","","7.9%","6.3%","45.0%","0.0%","","8.3%","5.3%","35.2%","9.9%","","22.8%","23.2%","5.2%","0.0%","","(X)","","2.0%","17.5%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
